COUNTY_NAME,PERIOD,DTW_window,DTW_dist_norm,lag_median_days,lag_iqr_days,frac_mobility_leads,trim_days,n_used,p_shuffle_absMedLag,p_phase_absMedLag,z_shuffle_absMedLag,z_phase_absMedLag
Albany County,P14,14,0.071319357,-4,22,0.578583765,0,448,0.07641196,0.50166113,1.928733947,-0.041037071
Big Horn County,P14,14,0.06049122,-7,16.5,0.655652174,0,448,0.003322259,0.169435216,5.067294809,1.226488079
Campbell County,P14,14,0.069097863,3,19,0.381112985,0,448,0.089700997,0.667774086,1.860396875,-0.449691043
Carbon County,P14,14,0.072751593,-4,25,0.561312608,0,448,0.03654485,0.408637874,2.46854778,0.191634135
Converse County,P14,14,0.072908224,-3,20,0.546247818,0,448,0.189368771,0.637873754,1.260560112,-0.425038268
Crook County,P14,14,0.056482446,0,19,0.492385787,0,448,1,1,-1.146272576,-1.18121074
Fremont County,P14,14,0.06806189,1,22,0.453736655,0,448,0.764119601,0.910299003,-0.359447316,-0.996498118
Goshen County,P14,14,0.070989729,0,22,0.496677741,0,448,1,1,-1.089154774,-1.135267779
Hot Springs County,P14,14,0.070133607,6,18,0.318936877,0,448,0.003322259,0.398671096,4.166493541,0.258773039
Johnson County,P14,14,0.07359231,0,24,0.455830389,0,448,1,1,-1.200421438,-1.086584035
Laramie County,P14,14,0.062201316,5,19,0.336936937,0,448,0.006644518,0.382059801,3.779176324,0.384661839
Lincoln County,P14,14,0.066868625,-6.5,15,0.678694158,0,448,0.009966777,0.186046512,3.64943836,0.885885762
Natrona County,P14,14,0.06689352,0,19,0.496666667,0,448,1,1,-1.349056319,-1.231534262
Niobrara County,P14,14,0.056073608,9,15,0.266666667,0,448,0.003322259,0.119601329,5.480800806,1.682859075
Park County,P14,14,0.073210253,-4,25,0.569230769,0,448,0.083056478,0.448504983,1.75342314,0.125481028
Platte County,P14,14,0.066051227,3,22,0.416107383,0,448,0.166112957,0.558139535,1.352105682,-0.136501521
Sheridan County,P14,14,0.065837758,-3,19,0.582322357,0,448,0.189368771,0.541528239,1.154255537,-0.194377833
Sublette County,P14,14,0.067687021,11,13,0.222222222,0,448,0.003322259,0.006644518,9.166143485,3.609146309
Sweetwater County,P14,14,0.069942249,2.5,23,0.431578947,0,448,0.196013289,0.574750831,0.782675239,-0.380857213
Teton County,P14,14,0.064030563,-1,18,0.510273973,0,448,0.787375415,0.88372093,-0.560007022,-0.971029163
Uinta County,P14,14,0.070661022,-3,20,0.546391753,0,448,0.285714286,0.591362126,0.84122595,-0.332838527
Washakie County,P14,14,0.065643457,0,22,0.491588785,0,448,1,1,-1.296023984,-1.241126688
Weston County,P14,14,0.064492679,2,24,0.406137184,0,448,0.328903654,0.694352159,0.795741887,-0.497476464
