COUNTY_NAME,PERIOD,DTW_window,DTW_dist_norm,lag_median_days,lag_iqr_days,frac_mobility_leads,trim_days,n_used,p_shuffle_absMedLag,p_phase_absMedLag,z_shuffle_absMedLag,z_phase_absMedLag
Albany County,P28,7,0.04655507920660378,6.0,2.0,0.20885200553250347,0,695,0.016611295681063124,0.5016611295681063,2.529313898170073,0.821968010856077
Big Horn County,P28,7,0.047530383023997064,-5.0,12.0,0.587708066581306,0,695,0.0033222591362126247,0.21262458471760798,3.244195787889521,1.213088846686008
Campbell County,P28,7,0.0442756301981266,6.0,9.0,0.29673202614379085,0,695,0.0033222591362126247,0.5980066445182725,4.192642285822871,0.6998982989170733
Carbon County,P28,7,0.03718176327359566,2.0,12.0,0.4383916990920882,0,695,0.2292358803986711,0.8106312292358804,1.3425397206925858,-0.9258950641248478
Converse County,P28,7,0.05636228291580584,-3.5,12.0,0.5347593582887701,0,695,0.0033222591362126247,0.5481727574750831,3.3433887557322826,-0.02596031317566335
Crook County,P28,7,0.053283886764156504,-6.0,12.0,0.5815508021390374,0,695,0.006644518272425249,0.6478405315614618,3.894112405031317,0.6349150421326325
Fremont County,P28,7,0.04335078086513537,-6.0,9.0,0.6949602122015915,0,695,0.0033222591362126247,0.4418604651162791,7.343294558244454,0.8998405408476382
Goshen County,P28,7,0.05835975112031166,-1.0,12.0,0.5086551264980027,0,695,0.7242524916943521,0.9435215946843853,-0.11013288634277583,-1.7244926253563233
Hot Springs County,P28,7,0.057961178794185934,-5.0,12.0,0.5767195767195767,0,695,0.019933554817275746,0.5647840531561462,2.651665794881255,0.40264147388569577
Johnson County,P28,7,0.05594307724232934,6.0,5.0,0.2222222222222222,0,695,0.0033222591362126247,0.30564784053156147,5.522669344499997,1.2052344356343136
Laramie County,P28,7,0.04638610890655908,6.0,12.0,0.30707610146862485,0,695,0.0033222591362126247,0.4883720930232558,6.815865015666257,0.8444126161914716
Lincoln County,P28,7,0.05318071400963231,6.0,12.0,0.4301369863013699,0,695,0.0033222591362126247,0.40863787375415284,6.543303662343037,0.9999952118860143
Natrona County,P28,7,0.050548647708441405,6.0,0.0,0.05555555555555555,0,695,0.009966777408637873,0.7242524916943521,3.020406306745112,0.5298185717255401
Niobrara County,P28,7,0.05473542365218362,-6.0,0.0,0.8384925975773889,0,695,0.0033222591362126247,0.7209302325581395,6.0008251857127535,0.5524780776208374
Park County,P28,7,0.06014340053619574,-6.0,12.0,0.6489071038251366,0,695,0.0033222591362126247,0.4418604651162791,5.457814146423023,0.9082368381571694
Platte County,P28,7,0.05446226828307446,-6.0,11.0,0.6490066225165563,0,695,0.0033222591362126247,0.4219269102990033,5.421710229486373,0.9756434591649329
Sheridan County,P28,7,0.05804585612458073,6.0,11.0,0.2946666666666667,0,695,0.0033222591362126247,0.47840531561461797,5.08415184856272,0.8502582004139664
Sublette County,P28,7,0.03386286257121566,-6.0,10.0,0.6549935149156939,0,695,0.0033222591362126247,0.5049833887043189,8.670146469697968,0.818853220920611
Sweetwater County,P28,7,0.03810735048981355,5.0,12.0,0.36739974126778785,0,695,0.0033222591362126247,0.6146179401993356,4.636895636904986,0.2776934472194606
Teton County,P28,7,0.04365289701481629,6.0,12.0,0.3204272363150868,0,695,0.0033222591362126247,0.4717607973421927,5.429310704501738,0.8566208773574898
Uinta County,P28,7,0.058095735402216374,-3.0,12.0,0.5557011795543906,0,695,0.2823920265780731,0.6943521594684385,1.0519632218062496,-0.4563341022817745
Washakie County,P28,7,0.05135296275676253,0.0,12.0,0.4884020618556701,0,695,1.0,1.0,-1.0540513449000917,-1.779597731187023
Weston County,P28,7,0.055893282645085834,6.0,12.0,0.3512064343163539,0,695,0.0033222591362126247,0.5481727574750831,5.697204867873452,0.7761218003552531
