COUNTY_NAME,PERIOD,DTW_window,DTW_dist_norm,lag_median_days,lag_iqr_days,frac_mobility_leads,trim_days,n_used,p_shuffle_absMedLag,p_phase_absMedLag,z_shuffle_absMedLag,z_phase_absMedLag
Albany County,P21,14,0.075945151,-13,5,0.858800774,0,448,0.003322259,0.15282392,9.305128583,1.539371159
Big Horn County,P21,14,0.056195499,5,25,0.384321224,0,448,0.083056478,0.425249169,1.780697742,0.070863481
Campbell County,P21,14,0.069119812,-7,21,0.651943463,0,448,0.003322259,0.352159468,5.653335936,0.428347073
Carbon County,P21,14,0.071014372,-6,24,0.561904762,0,448,0.003322259,0.508305648,3.899086527,-0.055449917
Converse County,P21,14,0.068129822,-2,24,0.521150592,0,448,0.352159468,0.787375415,0.63553653,-0.776465159
Crook County,P21,14,0.063309785,-12,11.75,0.767148014,0,448,0.003322259,0.212624585,7.557543446,1.253620612
Fremont County,P21,14,0.074644535,-0.5,26,0.5,0,448,0.794019934,0.890365449,-0.904883818,-1.129854778
Goshen County,P21,14,0.074411315,11,14,0.256756757,0,448,0.003322259,0.059800664,9.511181733,2.143181834
Hot Springs County,P21,14,0.072987426,-1,23,0.510805501,0,448,0.797342193,0.843853821,-0.686380265,-0.965751765
Johnson County,P21,14,0.065219258,3,21,0.390784983,0,448,0.096345515,0.627906977,1.766231097,-0.404350571
Laramie County,P21,14,0.070584925,3,23,0.430769231,0,448,0.299003322,0.627906977,0.847462482,-0.455781216
Lincoln County,P21,14,0.055010857,12,16,0.278095238,0,448,0.003322259,0.146179402,7.577929824,1.476379732
Natrona County,P21,14,0.06651764,-4.5,16,0.59760274,0,448,0.083056478,0.405315615,1.483577561,0.127193245
Niobrara County,P21,14,0.065657627,4,24,0.399267399,0,448,0.053156146,0.661129568,1.955046592,-0.489202871
Park County,P21,14,0.054257865,-9,16,0.659889094,0,448,0.003322259,0.252491694,7.740036793,0.865260025
Platte County,P21,14,0.05063268,-1,22,0.505415162,0,448,0.777408638,0.916943522,-0.412949549,-1.213180185
Sheridan County,P21,14,0.053174074,-2,23,0.518987342,0,448,0.458471761,0.684385382,0.280556675,-0.603426366
Sublette County,P21,14,0.050813429,-11,13,0.722222222,0,448,0.003322259,0.142857143,11.24019784,1.427509358
Sweetwater County,P21,14,0.064351796,-5,20,0.571948998,0,448,0.003322259,0.591362126,4.209852803,-0.225958263
Teton County,P21,14,0.070667458,-13,14,0.684210526,0,448,0.003322259,0.262458472,6.823458108,1.25480161
Uinta County,P21,14,0.054638141,-11,14,0.712746858,0,448,0.003322259,0.059800664,7.701546137,2.091778803
Washakie County,P21,14,0.072279956,-13,11,0.776091082,0,448,0.003322259,0.15282392,13.21076321,1.566913025
Weston County,P21,14,0.075050769,-5,26,0.574952562,0,448,0.013289037,0.554817276,3.13725311,-0.177641481
