COUNTY_NAME,PERIOD,DTW_window,DTW_dist_norm,lag_median_days,lag_iqr_days,frac_mobility_leads,trim_days,n_used,p_shuffle_absMedLag,p_phase_absMedLag,z_shuffle_absMedLag,z_phase_absMedLag
Albany County,P14,35,0.047348555,-1,39,0.501879699,0,695,0.943521595,0.940199336,-1.256311616,-1.146613144
Big Horn County,P14,35,0.047546136,-8,47,0.602615694,0,695,0.3089701,0.415282392,0.689008112,0.205438331
Campbell County,P14,35,0.047592238,-5,32,0.578947368,0,695,0.720930233,0.617940199,-0.514194431,-0.447721676
Carbon County,P14,35,0.028493924,13,29,0.228952772,0,695,0.003322259,0.19269103,3.950936467,0.97593265
Converse County,P14,35,0.041457543,-4,34,0.557603687,0,695,0.305647841,0.674418605,0.624751271,-0.510859692
Crook County,P14,35,0.033065749,-6,34.25,0.596899225,0,695,0.239202658,0.521594684,0.877749753,-0.190915531
Fremont County,P14,35,0.044043402,-8,41,0.603846154,0,695,0.056478405,0.362126246,2.127934813,0.357992008
Goshen County,P14,35,0.051999226,5,50,0.435797665,0,695,0.514950166,0.528239203,0.031551713,-0.160956643
Hot Springs County,P14,35,0.052185833,-5,44.5,0.556008147,0,695,0.42192691,0.604651163,0.170456013,-0.421877698
Johnson County,P14,35,0.046843521,-3,31,0.544497608,0,695,0.671096346,0.774086379,-0.446092137,-0.758244417
Laramie County,P14,35,0.042545575,-1,35,0.513812155,0,695,0.906976744,0.933554817,-0.986876121,-1.115558054
Lincoln County,P14,35,0.044521772,-6.5,33,0.625482625,0,695,0.23255814,0.34551495,0.721739993,0.288255473
Natrona County,P14,35,0.050344339,15,33,0.232862903,0,695,0.003322259,0.086378738,4.907651585,1.705147463
Niobrara County,P14,35,0.052192904,-4,31,0.56027001,0,695,0.528239203,0.724252492,-0.039857096,-0.682459141
Park County,P14,35,0.050829454,8,31,0.37044335,0,695,0.106312292,0.362126246,1.49301521,0.314721496
Platte County,P14,35,0.052897297,2,28,0.459684893,0,695,0.774086379,0.867109635,-0.670283846,-0.938320904
Sheridan County,P14,35,0.048921707,-4,36,0.551594747,0,695,0.42192691,0.617940199,0.161692439,-0.36552685
Sublette County,P14,35,0.042858394,2,37,0.451433858,0,695,0.750830565,0.84717608,-0.566894042,-0.879848142
Sweetwater County,P14,35,0.031734052,10,38,0.363193768,0,695,0.033222591,0.225913621,2.238715301,0.844330098
Teton County,P14,35,0.032882774,-12,33,0.664403492,0,695,0.016611296,0.132890365,2.770720282,1.205627183
Uinta County,P14,35,0.03471401,4,36,0.419475655,0,695,0.627906977,0.684385382,-0.262362508,-0.582165145
Washakie County,P14,35,0.041709449,-4,36,0.555953447,0,695,0.581395349,0.664451827,-0.15533948,-0.459179961
Weston County,P14,35,0.044733713,-3,23,0.563514804,0,695,0.644518272,0.823920266,-0.453026433,-0.884565788
