COUNTY_NAME,PERIOD,DTW_window,DTW_dist_norm,lag_median_days,lag_iqr_days,frac_mobility_leads,trim_days,n_used,p_shuffle_absMedLag,p_phase_absMedLag,z_shuffle_absMedLag,z_phase_absMedLag
Albany County,P21,14,0.037441949,-6,23,0.609783845,0,695,0.006644518,0.292358804,3.780100501,0.592420915
Big Horn County,P21,14,0.054459555,-8,21.5,0.587244284,0,695,0.003322259,0.312292359,7.397211957,0.589351281
Campbell County,P21,14,0.040072653,1,26,0.459016393,0,695,0.870431894,0.870431894,-0.682578715,-1.036102981
Carbon County,P21,14,0.044308064,-10,19,0.62994012,0,695,0.003322259,0.239202658,10.36155188,0.999918095
Converse County,P21,14,0.037881251,-7,25.5,0.58404908,0,695,0.003322259,0.318936877,6.62225538,0.525996697
Crook County,P21,14,0.038378772,0,26,0.497613365,0,695,1,1,-1.105249864,-1.488633184
Fremont County,P21,14,0.037525518,-8,18,0.630609896,0,695,0.003322259,0.07641196,6.213617724,1.888865617
Goshen County,P21,14,0.050077489,-11,16,0.681924883,0,695,0.003322259,0.129568106,6.620669062,1.490639974
Hot Springs County,P21,14,0.057635063,-4,22.5,0.529265255,0,695,0.458471761,0.508305648,0.148364809,-0.169795905
Johnson County,P21,14,0.056564725,-9,17,0.660115607,0,695,0.003322259,0.089700997,4.431782161,1.810723007
Laramie County,P21,14,0.050742479,-9,14,0.713800905,0,695,0.003322259,0.176079734,9.056337337,1.168658233
Lincoln County,P21,14,0.055663999,-13,18,0.671068427,0,695,0.003322259,0.159468439,9.792949284,1.48451169
Natrona County,P21,14,0.046842018,-3,26,0.545997611,0,695,0.322259136,0.73089701,0.588539455,-0.638125882
Niobrara County,P21,14,0.055767454,12,22,0.348427673,0,695,0.003322259,0.166112957,8.182538755,1.474770498
Park County,P21,14,0.02356594,-2,21,0.525330396,0,695,0.352159468,0.684385382,0.708438184,-0.579823504
Platte County,P21,14,0.050741097,-3,18,0.568398727,0,695,0.119601329,0.561461794,1.638659078,-0.145604101
Sheridan County,P21,14,0.055706486,-9,17,0.646778043,0,695,0.003322259,0.312292359,9.644675484,0.694296432
Sublette County,P21,14,0.032935619,-6,20,0.587443946,0,695,0.003322259,0.34551495,5.330154678,0.428651647
Sweetwater County,P21,14,0.047488878,2,24,0.428571429,0,695,0.448504983,0.677740864,0.36232302,-0.458294395
Teton County,P21,14,0.049946924,-3,23,0.54657688,0,695,0.03986711,0.687707641,2.275984047,-0.473528042
Uinta County,P21,14,0.036097317,-10,19,0.655380895,0,695,0.003322259,0.149501661,10.68109144,1.337604407
Washakie County,P21,14,0.036034941,1,22,0.456666667,0,695,0.641196013,0.910299003,0.031710072,-1.00577437
Weston County,P21,14,0.043409771,-13,18,0.662949195,0,695,0.003322259,0.252491694,8.916330616,1.256414081
